AwayEFG,AwayFT/FGA,AwayORB,AwayScore,AwayTOV,HomeEFG,HomeFT/FGA,HomeORB,HomeScore,HomeTOV,pace,url
0.448,0.208,41.1,106,12.3,0.5,0.146,16.3,94,14.5,95.3,http://www.basketball-reference.com/boxscores/201510270ATL.html
0.452,0.106,21.6,95,9,0.466,0.184,15.2,97,11.8,99.5,http://www.basketball-reference.com/boxscores/201510270CHI.html
0.458,0.229,18.6,95,15.9,0.474,0.208,45.7,111,15.9,100.1,http://www.basketball-reference.com/boxscores/201510270GSW.html
0.452,0.241,31.1,95,19.1,0.506,0.306,23.8,112,14.9,99.5,http://www.basketball-reference.com/boxscores/201510280BOS.html
0.628,0.218,14.7,115,18,0.419,0.237,32,100,11,99,http://www.basketball-reference.com/boxscores/201510280BRK.html
0.48,0.2,10.3,87,12.5,0.453,0.338,19,92,10.1,89.8,http://www.basketball-reference.com/boxscores/201510280DET.html
0.589,0.152,23.7,105,19.5,0.391,0.195,27.3,85,14,97,http://www.basketball-reference.com/boxscores/201510280HOU.html
0.488,0.373,14.3,112,7.5,0.439,0.356,26.7,111,11,100.1,http://www.basketball-reference.com/boxscores/201510280LAL.html
0.565,0.131,29.3,106,17.2,0.366,0.195,20.8,76,14.9,95.7,http://www.basketball-reference.com/boxscores/201510280MEM.html
0.429,0.262,22,94,7.6,0.575,0.274,5.9,104,13.6,91.8,http://www.basketball-reference.com/boxscores/201510280MIA.html
0.5,0.312,39.6,122,9.2,0.401,0.326,37.5,97,15.3,95.2,http://www.basketball-reference.com/boxscores/201510280MIL.html
0.511,0.118,17.1,106,11.6,0.529,0.244,27.5,112,16.6,101.6,http://www.basketball-reference.com/boxscores/201510280OKC.html
0.435,0.179,27.8,88,15.2,0.395,0.08,33.3,87,11.7,96.1,http://www.basketball-reference.com/boxscores/201510280ORL.html
0.529,0.247,13,111,7.5,0.425,0.241,23.6,95,15.1,102,http://www.basketball-reference.com/boxscores/201510280PHO.html
0.456,0.121,10,94,10,0.568,0.136,15,112,11.3,100.9,http://www.basketball-reference.com/boxscores/201510280POR.html
0.563,0.263,14,111,13.8,0.495,0.117,25,104,13.6,102.4,http://www.basketball-reference.com/boxscores/201510280SAC.html
0.424,0.302,16.3,99,11.5,0.494,0.338,22,106,17.1,103.6,http://www.basketball-reference.com/boxscores/201510280TOR.html
0.543,0.28,30,112,12.9,0.551,0.218,25,103,18.4,95.5,http://www.basketball-reference.com/boxscores/201510290IND.html
0.392,0.124,23.7,88,10.4,0.483,0.23,16.3,104,7.3,99.4,http://www.basketball-reference.com/boxscores/201510290LAC.html
0.566,0.217,17.9,112,13.7,0.441,0.204,33.3,101,17,101.7,http://www.basketball-reference.com/boxscores/201510290NYK.html
0.477,0.114,26,94,16.1,0.482,0.205,16.3,97,13.9,97.7,http://www.basketball-reference.com/boxscores/201510300ATL.html
0.506,0.366,22.5,113,17.7,0.418,0.376,13.7,103,14.2,108.3,http://www.basketball-reference.com/boxscores/201510300BOS.html
0.468,0.26,14.6,92,13,0.488,0.209,30.4,102,10.4,91,http://www.basketball-reference.com/boxscores/201510300CLE.html
0.437,0.465,17.1,95,16,0.332,0.158,28.8,78,11.9,96.8,http://www.basketball-reference.com/boxscores/201510300DEN.html
0.446,0.226,16.3,94,16.6,0.404,0.135,32.3,98,10.7,95.7,http://www.basketball-reference.com/boxscores/201510300DET.html
0.511,0.183,22.9,112,7.1,0.396,0.329,25,92,14.1,98.6,http://www.basketball-reference.com/boxscores/201510300HOU.html
0.603,0.529,23.5,118,19.4,0.555,0.268,17.1,113,14.5,100.1,http://www.basketball-reference.com/boxscores/201510300MIL.html
0.491,0.282,38.6,139,13.6,0.5,0.283,25.9,136,11.5,99.8,http://www.basketball-reference.com/boxscores/201510300ORL.html
0.449,0.227,29.5,99,6.6,0.349,0.429,17.4,71,18.5,88.1,http://www.basketball-reference.com/boxscores/201510300PHI.html
0.448,0.174,20,92,19.6,0.47,0.386,26.2,110,15.8,105.7,http://www.basketball-reference.com/boxscores/201510300PHO.html
0.522,0.236,16.7,114,15.8,0.545,0.218,35.6,132,10.9,109.3,http://www.basketball-reference.com/boxscores/201510300SAC.html
0.435,0.104,4.3,75,15.2,0.517,0.151,28.6,102,16.4,95.5,http://www.basketball-reference.com/boxscores/201510300SAS.html
0.477,0.148,35.7,97,15.1,0.429,0.229,17.9,76,23.2,93.9,http://www.basketball-reference.com/boxscores/201510310IND.html
0.455,0.168,35.2,109,10.4,0.539,0.421,16.7,114,15,103.5,http://www.basketball-reference.com/boxscores/201510310LAC.html
0.5,0.152,20.5,91,12.1,0.481,0.3,23.9,101,8.9,88.8,http://www.basketball-reference.com/boxscores/201510310MEM.html
0.649,0.298,8.6,134,9.1,0.5,0.2,31.4,120,12,105.3,http://www.basketball-reference.com/boxscores/201510310NOP.html
0.473,0.128,23.9,101,11.4,0.468,0.203,21.3,90,14.9,97.5,http://www.basketball-reference.com/boxscores/201510310POR.html
0.529,0.302,22,117,15.2,0.456,0.311,26.2,110,14,105.9,http://www.basketball-reference.com/boxscores/201510310WAS.html
0.464,0.217,25.6,95,16.1,0.388,0.112,28.1,87,13.3,99.4,http://www.basketball-reference.com/boxscores/201511010BOS.html
0.428,0.111,25,87,14.1,0.42,0.218,26.2,92,11.9,95.9,http://www.basketball-reference.com/boxscores/201511010CHI.html
0.46,0.148,20,94,10.5,0.453,0.163,18.8,92,10.6,92.9,http://www.basketball-reference.com/boxscores/201511010CHO.html
0.523,0.138,19,103,10.5,0.424,0.247,16.3,93,11,96.8,http://www.basketball-reference.com/boxscores/201511010LAL.html
0.468,0.19,7.5,89,16.4,0.541,0.186,26.2,109,11.2,96.7,http://www.basketball-reference.com/boxscores/201511010MIA.html
0.429,0.152,27.5,93,11.5,0.599,0.163,38.2,117,16.8,95.6,http://www.basketball-reference.com/boxscores/201511010OKC.html
0.457,0.348,20,87,18.5,0.517,0.144,40.9,106,11.6,88.8,http://www.basketball-reference.com/boxscores/201511010TOR.html
0.582,0.247,24.2,103,14.2,0.494,0.228,26.3,96,16.9,91,http://www.basketball-reference.com/boxscores/201511020BRK.html
0.286,0.146,16.7,69,9.5,0.577,0.262,23.3,119,12.6,101.2,http://www.basketball-reference.com/boxscores/201511020GSW.html
0.536,0.179,34.1,105,20.4,0.511,0.213,14.6,110,10.5,102.9,http://www.basketball-reference.com/boxscores/201511020HOU.html
0.413,0.153,27.1,96,7.7,0.506,0.247,7.1,102,10.8,97.6,http://www.basketball-reference.com/boxscores/201511020LAC.html
0.511,0.169,25,106,14.1,0.449,0.38,18.6,101,13.5,100.4,http://www.basketball-reference.com/boxscores/201511020MIN.html
0.519,0.152,20,94,13.1,0.382,0.18,31.5,84,9.2,89.2,http://www.basketball-reference.com/boxscores/201511020NYK.html
0.568,0.185,20,107,15.1,0.488,0.2,20,100,12,96.9,http://www.basketball-reference.com/boxscores/201511020PHI.html
0.567,0.033,9.1,105,11.4,0.593,0.242,29.3,130,8.2,98.1,http://www.basketball-reference.com/boxscores/201511030CHO.html
0.482,0.28,25,102,14.6,0.424,0.209,27.5,91,13.4,95.9,http://www.basketball-reference.com/boxscores/201511030DAL.html
0.472,0.125,27.9,94,13.9,0.413,0.128,38.8,82,19.7,93.3,http://www.basketball-reference.com/boxscores/201511030DET.html
0.547,0.318,27.5,120,12.4,0.453,0.36,22.4,109,8.9,99.1,http://www.basketball-reference.com/boxscores/201511030LAL.html
0.45,0.189,30.8,98,13.1,0.471,0.128,27.1,92,16.2,96.4,http://www.basketball-reference.com/boxscores/201511030MIA.html
0.506,0.133,21.7,103,15.9,0.422,0.2,18.2,94,12.2,102.2,http://www.basketball-reference.com/boxscores/201511030NOP.html
0.5,0.241,30.8,103,14.5,0.439,0.324,17.4,89,12.4,94.7,http://www.basketball-reference.com/boxscores/201511030SAC.html
0.464,0.12,33.3,87,17.6,0.539,0.25,17.1,101,13.1,90.9,http://www.basketball-reference.com/boxscores/201511040ATL.html
0.44,0.143,18.8,86,11.7,0.44,0.277,22.5,96,10.2,93.3,http://www.basketball-reference.com/boxscores/201511040CLE.html
0.534,0.159,23.3,108,10.1,0.518,0.282,22.5,112,10.8,97.5,http://www.basketball-reference.com/boxscores/201511040GSW.html
0.544,0.165,22,114,12.4,0.54,0.273,35.6,119,15.6,92.9,http://www.basketball-reference.com/boxscores/201511040HOU.html
0.482,0.217,31.9,98,17,0.429,0.242,38.2,100,11.9,94.1,http://www.basketball-reference.com/boxscores/201511040IND.html
0.457,0.16,30,87,17,0.453,0.151,17,91,9.7,91.7,http://www.basketball-reference.com/boxscores/201511040MIL.html
0.449,0.405,28.6,103,12.7,0.524,0.146,25,98,17.7,94.8,http://www.basketball-reference.com/boxscores/201511040OKC.html
0.542,0.071,17.9,97,16,0.627,0.169,25.7,118,16.3,98.3,http://www.basketball-reference.com/boxscores/201511040PHO.html
0.604,0.195,35.1,108,17.3,0.403,0.239,31.4,92,8.1,93.5,http://www.basketball-reference.com/boxscores/201511040UTA.html
0.5,0.222,23.7,99,18.2,0.529,0.115,9.1,102,9.7,98,http://www.basketball-reference.com/boxscores/201511040WAS.html
0.482,0.202,20,98,8.8,0.483,0.189,23.9,104,5.7,91.4,http://www.basketball-reference.com/boxscores/201511050CHI.html
0.528,0.157,18.2,108,10.2,0.427,0.293,16.7,94,12.2,97.5,http://www.basketball-reference.com/boxscores/201511050DAL.html
0.5,0.129,26.1,96,9.8,0.424,0.319,26.2,84,13,87.3,http://www.basketball-reference.com/boxscores/201511050DEN.html
0.513,0.237,17.1,96,15.5,0.376,0.235,22.2,84,14.5,95.8,http://www.basketball-reference.com/boxscores/201511050MIN.html
0.526,0.195,17.5,96,8.5,0.592,0.138,32.6,115,7.7,87,http://www.basketball-reference.com/boxscores/201511050POR.html
0.455,0.205,20.8,98,19.7,0.515,0.186,30,118,13.7,107.9,http://www.basketball-reference.com/boxscores/201511060BOS.html
0.468,0.397,13.5,104,13.6,0.446,0.161,28.6,98,12.8,101.1,http://www.basketball-reference.com/boxscores/201511060BRK.html
