away_line,away_line_num,away_line_odds,away_money_line_num,away_money_line_odds,away_score,away_team,date,home_line,home_line_num,home_line_odds,home_money_line_num,home_money_line_odds,home_score,home_team,id,over_num,over_odds,over_under,under_num,under_odds
-2.5,842,1.75,379,1.65,122,洛杉磯快艇,20151231,+2.5,849,1.75,278,1.85,117,夏洛特黃蜂,405,231,1.75,200.5,159,1.75
+8.5,605,1.75,38,3.1,93,布魯克林籃網,20151231,-8.5,738,1.75,506,1.2,100,奧蘭多魔術,406,416,1.75,199.5,280,1.75
+7.5,524,1.75,58,2.85,91,華盛頓巫師,20151231,-7.5,937,1.75,525,1.25,94,多倫多暴龍,408,400,1.75,202.5,275,1.75
+13.5,546,1.75,,,112,洛杉磯湖人,20151231,-13.5,867,1.75,,,104,波士頓塞爾提克,407,383,1.75,206.5,326,1.75
+4.5,650,1.75,263,2.15,80,猶他爵士,20151231,-4.5,750,1.75,318,1.45,94,明尼蘇達灰狼,410,126,1.75,192.5,142,1.75
+3.5,629,1.75,177,2.05,100,印第安那溜馬,20151231,-3.5,816,1.75,375,1.5,102,芝加哥公牛,409,317,1.75,201.5,425,1.75
-4.5,578,1.75,297,1.35,91,金州勇士,20151231,+4.5,332,1.75,62,2.45,114,達拉斯小牛,411,253,1.75,209.5,172,1.75
+15.5,523,1.75,,,79,鳳凰城太陽,20151231,-15.5,838,1.75,,,112,聖安東尼奧馬刺,412,346,1.75,198.5,333,1.75
+10.5,280,1.75,,,110,費城76人,20151231,-10.5,554,1.75,,,105,沙加緬度國王,414,176,1.75,213.5,257,1.75
+6.5,298,1.75,38,2.85,103,丹佛金塊,20151231,-6.5,473,1.75,256,1.25,110,波特蘭拓荒者,413,324,1.75,202.5,110,1.75
-2.5,959,1.75,384,1.6,96,底特律活塞,20151230,+2.5,830,1.75,340,1.9,108,紐約尼克,400,422,1.75,197.5,425,1.75
+13.5,635,1.75,,,123,密爾瓦基公鹿,20151230,-13.5,662,1.75,,,131,奧克拉荷馬雷霆,403,489,1.75,207.5,267,1.75
+4.5,512,1.75,101,2.15,90,邁阿密熱火,20151230,-4.5,480,1.75,276,1.45,99,曼斐斯灰熊,402,281,1.75,189.5,299,1.75
+4.5,904,1.75,234,2.15,121,亞特蘭大老鷹,20151230,-4.5,1007,1.75,424,1.45,115,休士頓火箭,401,396,1.75,207.5,517,1.75
-7.5,996,1.75,567,1.2,93,克里夫蘭騎士,20151230,+7.5,568,1.75,59,3.1,87,丹佛金塊,404,471,1.75,196.5,318,1.75
+1.5,643,1.65,291,1.75,108,洛杉磯快艇,20151229,-1.5,760,1.85,313,1.75,91,華盛頓巫師,490,408,1.75,207.5,198,1.75
+13.5,702,1.75,,,98,洛杉磯湖人,20151229,-13.5,787,1.75,,,108,夏洛特黃蜂,487,474,1.75,203.5,417,1.75
+5.5,542,1.75,93,2.6,89,紐奧良鵜鶘,20151229,-5.5,908,1.75,430,1.3,104,奧蘭多魔術,489,425,1.75,205.5,200,1.75
+1.5,587,1.65,198,1.75,87,亞特蘭大老鷹,20151229,-1.5,870,1.85,369,1.75,93,印第安那溜馬,488,233,1.75,204.5,357,1.75
+7.5,753,1.75,51,3.1,111,布魯克林籃網,20151229,-7.5,459,1.75,424,1.2,105,邁阿密熱火,491,258,1.75,194.5,350,1.75
+1.5,620,1.75,199,1.85,97,多倫多暴龍,20151229,-1.5,729,1.75,318,1.65,104,芝加哥公牛,492,349,1.75,199.5,244,1.75
+7.5,466,1.75,44,3.1,93,密爾瓦基公鹿,20151229,-7.5,780,1.75,476,1.2,103,達拉斯小牛,493,335,1.75,203.5,235,1.75
+15.5,487,1.75,,,95,明尼蘇達灰狼,20151229,-15.5,804,1.75,,,101,聖安東尼奧馬刺,494,318,1.75,195.5,315,1.75
+10.5,210,1.75,,,91,費城76人,20151229,-10.5,506,1.75,,,95,猶他爵士,496,132,1.75,196.5,160,1.75
-10.5,987,1.75,,,101,克里夫蘭騎士,20151229,+10.5,489,1.75,,,97,鳳凰城太陽,495,285,1.75,198.5,319,1.75
+15.5,341,1.75,,,103,沙加緬度國王,20151229,-15.5,812,1.75,,,122,金州勇士,497,363,1.75,219.5,270,1.75
+10.5,687,1.75,,,96,洛杉磯湖人,20151228,-10.5,881,1.75,,,112,曼斐斯灰熊,483,330,1.75,194.5,667,1.75
+16.5,677,1.75,,,112,丹佛金塊,20151228,-16.5,723,1.75,,,122,奧克拉荷馬雷霆,485,305,1.75,206.5,262,1.75
+7.5,817,1.75,78,3.1,91,紐約尼克,20151228,-7.5,681,1.75,349,1.2,100,波士頓塞爾提克,484,271,1.75,202.5,180,1.75
+8.5,742,1.75,97,3.5,98,波特蘭拓荒者,20151228,-8.5,821,1.75,428,1.15,94,沙加緬度國王,486,289,1.75,208.5,209,1.75
-3.5,655,1.75,285,1.5,111,華盛頓巫師,20151227,+3.5,573,1.75,153,2.05,96,布魯克林籃網,470,237,1.75,205.5,306,1.75
-3.5,722,1.75,311,1.5,111,多倫多暴龍,20151227,+3.5,532,1.75,133,2.05,90,密爾瓦基公鹿,471,387,1.75,193.5,204,1.75
+3.5,499,1.8,151,2.05,92,曼斐斯灰熊,20151227,-3.5,951,1.7,405,1.5,98,夏洛特黃蜂,472,336,1.75,194.5,356,1.75
-1.5,688,1.85,301,1.7,108,休士頓火箭,20151227,+1.5,613,1.65,255,1.8,110,紐奧良鵜鶘,473,271,1.75,210.5,295,1.75
+5.5,472,1.75,129,2.15,108,邁阿密熱火,20151227,-5.5,827,1.75,396,1.45,101,奧蘭多魔術,474,338,1.75,193.5,236,1.75
-1.5,596,1.85,228,1.65,99,波士頓塞爾提克,20151227,+1.5,586,1.65,265,1.85,93,底特律活塞,476,325,1.75,204.5,197,1.75
+7.5,231,1.75,19,3.1,98,紐約尼克,20151227,-7.5,220,1.75,170,1.2,117,亞特蘭大老鷹,475,126,1.75,201.5,93,1.75
-5.5,837,1.75,397,1.4,102,印第安那溜馬,20151227,+5.5,387,1.75,75,2.3,88,明尼蘇達灰狼,477,257,1.75,205.5,225,1.75
+14.5,167,1.75,,,86,丹佛金塊,20151227,-14.5,415,1.75,,,101,聖安東尼奧馬刺,479,153,1.75,194.5,110,1.75
+3.5,497,1.75,78,2.15,111,芝加哥公牛,20151227,-3.5,583,1.75,133,1.45,118,達拉斯小牛,478,110,1.75,201.5,128,1.75
-2.5,327,1.75,142,1.7,109,洛杉磯快艇,20151227,+2.5,315,1.75,130,1.8,104,猶他爵士,481,175,1.75,192.5,135,1.75
+12.5,410,1.75,,,111,費城76人,20151227,-12.5,692,1.75,,,104,鳳凰城太陽,480,241,1.75,205.5,252,1.75
-7.5,416,1.75,282,1.2,76,克里夫蘭騎士,20151227,+7.5,203,1.75,22,3.1,105,波特蘭拓荒者,482,171,1.75,195.5,142,1.75
+5.5,667,1.75,110,2.6,88,紐奧良鵜鶘,20151226,-5.5,890,1.75,485,1.3,94,邁阿密熱火,465,354,1.75,198.5,455,1.75
+9.5,745,1.75,58,3.75,105,芝加哥公牛,20151226,-9.5,863,1.75,605,1.12,96,奧克拉荷馬雷霆,466,407,1.75,205.5,432,1.75
+7.5,904,1.75,134,2.85,83,克里夫蘭騎士,20151226,-7.5,932,1.75,556,1.25,89,金州勇士,467,521,1.75,210.5,591,1.75
-8.5,1179,1.75,610,1.15,84,聖安東尼奧馬刺,20151226,+8.5,758,1.75,99,3.5,88,休士頓火箭,468,632,1.75,204.5,387,1.75
-13.5,994,1.75,,,94,洛杉磯快艇,20151226,+13.5,675,1.75,,,84,洛杉磯湖人,469,565,1.75,206.5,434,1.75
+3.5,615,1.75,178,2.05,102,波士頓塞爾提克,20151224,-3.5,1087,1.75,511,1.5,89,夏洛特黃蜂,453,537,1.75,204.5,461,1.75
-1.5,993,1.85,420,1.65,91,曼斐斯灰熊,20151224,+1.5,598,1.65,260,1.85,100,華盛頓巫師,454,251,1.75,202.5,376,1.75
+1.5,697,1.65,289,1.75,101,休士頓火箭,20151224,-1.5,811,1.85,327,1.75,104,奧蘭多魔術,455,376,1.75,208.5,279,1.75
+7.5,520,1.75,61,3.1,108,沙加緬度國王,20151224,-7.5,872,1.75,519,1.2,106,印第安那溜馬,456,324,1.75,213.5,494,1.75
+12.5,266,1.75,,,84,紐約尼克,20151224,-12.5,363,1.75,,,91,克里夫蘭騎士,452,175,1.75,196.5,160,1.75
-3.5,691,1.75,332,1.45,119,達拉斯小牛,20151224,+3.5,290,1.75,66,2.15,118,布魯克林籃網,457,181,1.75,199.5,186,1.75
+7.5,718,1.75,100,3.1,89,波特蘭拓荒者,20151224,-7.5,562,1.75,389,1.2,115,紐奧良鵜鶘,461,192,1.75,203.5,68,1.75
-12.5,1043,1.75,,,108,聖安東尼奧馬刺,20151224,+12.5,404,1.75,,,83,明尼蘇達灰狼,460,372,1.75,196.5,283,1.75
+5.5,568,1.75,83,2.6,100,底特律活塞,20151224,-5.5,487,1.75,293,1.3,107,亞特蘭大老鷹,458,218,1.75,201.5,199,1.75
+11.5,421,1.75,,,100,費城76人,20151224,-11.5,545,1.75,,,113,密爾瓦基公鹿,459,185,1.75,195.5,246,1.75
+8.5,262,1.75,15,3.5,104,丹佛金塊,20151224,-8.5,318,1.75,262,1.15,96,鳳凰城太陽,462,263,1.75,208.5,118,1.75
-14.5,736,1.75,,,120,奧克拉荷馬雷霆,20151224,+14.5,342,1.75,,,85,洛杉磯湖人,464,308,1.75,207.5,213,1.75
+14.5,592,1.75,,,85,猶他爵士,20151224,-14.5,917,1.75,,,103,金州勇士,463,842,1.75,209.5,254,1.75
-11.5,937,1.75,,,104,曼斐斯灰熊,20151223,+11.5,754,1.75,,,90,費城76人,448,528,1.75,192.5,619,1.75
+3.5,786,1.75,185,2.15,93,底特律活塞,20151223,-3.5,1248,1.75,595,1.45,92,邁阿密熱火,450,814,1.75,195.5,470,1.75
+5.5,879,1.75,191,2.3,99,達拉斯小牛,20151223,-5.5,1103,1.75,495,1.4,103,多倫多暴龍,449,479,1.75,196.5,187,1.75
+5.5,543,1.75,88,2.6,111,洛杉磯湖人,20151223,-5.5,698,1.75,364,1.3,107,丹佛金塊,451,362,1.75,205.5,241,1.75
