away_line,away_line_num,away_line_odds,away_money_line_num,away_money_line_odds,away_score,away_team,date,home_line,home_line_num,home_line_odds,home_money_line_num,home_money_line_odds,home_score,home_team,id,over_num,over_odds,over_under,under_num,under_odds
+8.5,630,1.75,52,3.5,132,明尼蘇達灰狼,20160326,-8.5,566,1.75,414,1.15,129,華盛頓巫師,461,373,1.75,217.5,351,1.75
+1.5,849,1.75,390,1.85,105,夏洛特黃蜂,20160326,-1.5,780,1.75,347,1.65,112,底特律活塞,462,283,1.75,206.5,153,1.75
+8.5,513,1.75,52,3.5,90,密爾瓦基公鹿,20160326,-8.5,663,1.75,460,1.15,101,亞特蘭大老鷹,463,499,1.75,202.5,306,1.75
+1.5,410,1.65,183,1.8,109,多倫多暴龍,20160326,-1.5,357,1.85,151,1.7,112,休士頓火箭,465,268,1.75,213.5,123,1.75
+9.5,516,1.75,54,3.75,97,奧蘭多魔術,20160326,-9.5,553,1.75,440,1.12,108,邁阿密熱火,464,307,1.75,207.5,491,1.75
+13.5,272,1.75,,,104,曼斐斯灰熊,20160326,-13.5,437,1.75,,,110,聖安東尼奧馬刺,466,213,1.75,190.5,250,1.75
+7.5,245,1.75,27,3.1,94,鳳凰城太陽,20160326,-7.5,348,1.75,239,1.2,116,沙加緬度國王,467,269,1.75,224.5,158,1.75
-4.5,754,1.75,331,1.4,116,丹佛金塊,20160326,+4.5,493,1.75,146,2.3,105,洛杉磯湖人,468,375,1.75,214.5,339,1.75
+15.5,653,1.75,,,120,達拉斯小牛,20160326,-15.5,613,1.75,,,128,金州勇士,469,611,1.75,222.5,383,1.75
+13.5,623,1.75,,,84,紐奧良鵜鶘,20160325,-13.5,636,1.75,,,92,印第安那溜馬,456,451,1.75,204.5,414,1.75
-5.5,1001,1.75,481,1.35,94,芝加哥公牛,20160325,+5.5,474,1.75,88,2.45,106,紐約尼克,458,451,1.75,204.5,399,1.75
-10.5,918,1.75,,,95,克里夫蘭騎士,20160325,+10.5,464,1.75,,,104,布魯克林籃網,457,440,1.75,208.5,339,1.75
+10.5,544,1.75,,,91,猶他爵士,20160325,-10.5,923,1.75,,,113,奧克拉荷馬雷霆,459,698,1.75,200.5,333,1.75
+6.5,638,1.8,125,2.6,94,波特蘭拓荒者,20160325,-6.5,992,1.7,470,1.3,96,洛杉磯快艇,460,638,1.75,215.5,353,1.75
+1.5,561,1.75,248,1.9,122,亞特蘭大老鷹,20160324,-1.5,873,1.75,408,1.6,101,華盛頓巫師,444,419,1.75,208.5,337,1.75
+11.5,486,1.75,,,104,密爾瓦基公鹿,20160324,-11.5,633,1.75,,,113,克里夫蘭騎士,445,456,1.75,206.5,293,1.75
+7.5,438,1.75,52,3.1,102,奧蘭多魔術,20160324,-7.5,786,1.75,459,1.2,118,底特律活塞,447,268,1.75,205.5,337,1.75
+1.5,405,1.75,197,1.9,79,多倫多暴龍,20160324,-1.5,319,1.75,127,1.6,91,波士頓塞爾提克,446,229,1.75,208.5,104,1.75
+5.5,463,1.75,145,2.45,104,沙加緬度國王,20160324,-5.5,559,1.75,271,1.35,113,明尼蘇達灰狼,450,308,1.75,221.5,313,1.75
+2.5,201,1.75,75,2.05,89,猶他爵士,20160324,-2.5,527,1.75,223,1.5,87,休士頓火箭,448,212,1.75,199.5,136,1.75
+10.5,237,1.75,,,115,紐約尼克,20160324,-10.5,325,1.75,,,107,芝加哥公牛,449,141,1.75,201.5,200,1.75
+9.5,711,1.75,2,5,88,邁阿密熱火,20160324,-9.5,563,1.75,31,1.05,112,聖安東尼奧馬刺,451,364,1.75,195.5,502,1.75
+9.5,191,1.75,16,4,103,費城76人,20160324,-9.5,335,1.75,257,1.1,104,丹佛金塊,452,165,1.75,213.5,143,1.75
+6.5,510,1.75,102,2.85,107,洛杉磯湖人,20160324,-6.5,579,1.75,323,1.25,119,鳳凰城太陽,454,350,1.75,213.5,320,1.75
+7.5,539,1.75,92,3.1,103,達拉斯小牛,20160324,-7.5,799,1.75,445,1.2,109,波特蘭拓荒者,453,727,1.75,214.5,241,1.75
+10.5,525,1.75,,,98,洛杉磯快艇,20160324,-10.5,894,1.75,,,114,金州勇士,455,670,1.75,224.5,361,1.75
-7.5,807,1.75,459,1.2,105,夏洛特黃蜂,20160323,+7.5,561,1.75,56,3.1,100,布魯克林籃網,440,374,1.75,208.5,369,1.75
+9.5,642,1.75,38,3.75,107,休士頓火箭,20160323,-9.5,655,1.75,266,1.12,111,奧克拉荷馬雷霆,442,446,1.75,225.5,426,1.75
-10.5,689,1.75,,,113,邁阿密熱火,20160323,+10.5,536,1.75,,,99,紐奧良鵜鶘,441,349,1.75,209.5,472,1.75
-4.5,753,1.75,348,1.45,100,曼斐斯灰熊,20160323,+4.5,673,1.75,165,2.15,107,洛杉磯湖人,443,460,1.75,202.5,440,1.75
+15.5,685,1.75,,,75,費城76人,20160322,-15.5,477,1.75,,,91,印第安那溜馬,433,489,1.75,211.5,303,1.75
+11.5,632,1.75,,,91,丹佛金塊,20160322,-11.5,497,1.75,,,124,克里夫蘭騎士,432,271,1.75,213.5,311,1.75
-6.5,1044,1.75,601,1.22,88,聖安東尼奧馬刺,20160322,+6.5,616,1.75,72,3,91,夏洛特黃蜂,431,441,1.75,196.5,537,1.75
+8.5,436,1.75,49,3.5,91,密爾瓦基公鹿,20160322,-8.5,698,1.75,432,1.15,92,底特律活塞,435,345,1.75,206.5,255,1.75
+9.5,424,1.75,32,3.75,96,奧蘭多魔術,20160322,-9.5,775,1.75,502,1.12,107,波士頓塞爾提克,434,310,1.75,216.5,371,1.75
-13.5,1191,1.7,,,109,金州勇士,20160322,+13.5,327,1.8,,,104,明尼蘇達灰狼,436,390,1.75,232.5,468,1.75
+8.5,452,1.75,46,3.5,102,沙加緬度國王,20160322,-8.5,714,1.75,478,1.15,109,芝加哥公牛,437,282,1.75,217.5,407,1.75
+7.5,526,1.75,78,2.85,117,華盛頓巫師,20160322,-7.5,729,1.75,440,1.25,102,亞特蘭大老鷹,438,561,1.75,208.5,206,1.75
-3.5,872,1.75,366,1.55,103,曼斐斯灰熊,20160322,+3.5,522,1.75,178,1.95,97,鳳凰城太陽,439,380,1.75,204.5,322,1.75
+1.5,586,1.75,250,1.9,120,波特蘭拓荒者,20160321,-1.5,890,1.75,392,1.6,132,達拉斯小牛,425,580,1.75,216.5,240,1.75
+10.5,656,1.75,,,100,奧蘭多魔術,20160321,-10.5,634,1.75,,,105,多倫多暴龍,426,201,1.75,208.5,138,1.75
-7.5,827,1.75,443,1.2,105,洛杉磯快艇,20160321,+7.5,504,1.75,56,3.1,109,紐奧良鵜鶘,427,405,1.75,213.5,321,1.75
-12.5,815,1.75,,,120,波士頓塞爾提克,20160321,+12.5,459,1.75,,,105,費城76人,428,353,1.75,214.5,383,1.75
-1.5,312,1.75,125,1.6,94,猶他爵士,20160321,+1.5,428,1.75,180,1.9,85,密爾瓦基公鹿,429,271,1.75,189.5,227,1.75
-6.5,786,1.75,335,1.28,88,沙加緬度國王,20160321,+6.5,547,1.75,212,2.7,80,紐約尼克,430,394,1.75,213.5,404,1.75
+10.5,582,1.75,,,101,丹佛金塊,20160320,-10.5,643,1.75,,,93,夏洛特黃蜂,416,357,1.75,217.5,345,1.75
+8.5,438,1.75,46,3.5,89,紐約尼克,20160320,-8.5,642,1.75,432,1.15,99,華盛頓巫師,418,453,1.75,208.5,211,1.75
-4.5,1071,1.75,481,1.4,115,奧克拉荷馬雷霆,20160320,+4.5,392,1.75,98,2.3,111,印第安那溜馬,417,446,1.75,211.5,195,1.75
+8.5,150,1.75,10,3.5,103,布魯克林籃網,20160320,-8.5,299,1.75,239,1.15,115,底特律活塞,419,146,1.75,210.5,114,1.75
-5.5,941,1.75,431,1.35,101,克里夫蘭騎士,20160320,+5.5,418,1.75,114,2.45,122,邁阿密熱火,421,254,1.75,205.5,464,1.75
+7.5,537,1.75,75,3.1,97,休士頓火箭,20160320,-7.5,523,1.75,349,1.2,109,亞特蘭大老鷹,420,407,1.75,217.5,260,1.75
+1.5,260,1.75,90,1.9,85,猶他爵士,20160320,-1.5,442,1.75,200,1.6,92,芝加哥公牛,423,173,1.75,195.5,161,1.75
